Date,signal,position
2023-10-29,-1,-0.6040305535461845
2023-10-30,-1,-0.6832244428369476
2023-10-31,0,-0.5465795542695581
2023-11-01,0,-0.4372636434156465
2023-11-02,-1,-0.5498109147325172
2023-11-03,0,-0.4398487317860138
2023-11-04,-1,-0.5518789854288111
2023-11-05,-1,-0.6415031883430489
2023-11-06,0,-0.5132025506744391
2023-11-07,0,-0.4105620405395513
2023-11-08,1,-0.12844963243164104
2023-11-09,-1,-0.3027597059453129
2023-11-10,1,-0.04220776475625029
2023-11-11,-1,-0.23376621180500023
2023-11-12,-1,-0.3870129694440002
2023-11-13,-1,-0.5096103755552002
2023-11-14,1,-0.20768830044416015
2023-11-15,-1,-0.3661506403553281
2023-11-16,-1,-0.49292051228426254
2023-11-17,-1,-0.59433640982741
2023-11-18,-1,-0.675469127861928
2023-11-19,-1,-0.7403753022895425
2023-11-20,-1,-0.7923002418316341
2023-11-21,-1,-0.8338401934653072
2023-11-22,0,-0.6670721547722458
2023-11-23,-1,-0.7336577238177966
2023-11-24,-1,-0.7869261790542372
2023-11-25,-1,-0.8295409432433898
2023-11-26,-1,-0.8636327545947118
2023-11-27,-1,-0.8909062036757696
2023-11-28,0,-0.7127249629406157
2023-11-29,0,-0.5701799703524926
2023-11-30,0,-0.4561439762819941
2023-12-01,1,-0.16491518102559527
2023-12-02,0,-0.13193214482047622
2023-12-03,0,-0.10554571585638098
2023-12-04,1,0.11556342731489522
2023-12-05,1,0.2924507418519162
2023-12-06,-1,0.033960593481532964
2023-12-07,0,0.02716847478522637
2023-12-08,1,0.2217347798281811
2023-12-09,-1,-0.022612176137455114
2023-12-10,-1,-0.2180897409099641
2023-12-11,1,0.025528207272028702
2023-12-12,-1,-0.17957743418237704
2023-12-13,1,0.056338052654098386
2023-12-14,1,0.24507044212327872
2023-12-15,1,0.396056353698623
2023-12-16,1,0.5168450829588984
2023-12-17,1,0.6134760663671188
2023-12-18,0,0.49078085309369507
2023-12-19,0,0.3926246824749561
2023-12-20,1,0.5140997459799649
2023-12-21,0,0.4112797967839719
2023-12-22,0,0.32902383742717756
2023-12-23,1,0.46321906994174206
2023-12-24,1,0.5705752559533936
2023-12-25,1,0.6564602047627149
2023-12-26,0,0.525168163810172
2023-12-27,1,0.6201345310481376
2023-12-28,0,0.4961076248385101
2023-12-29,1,0.5968860998708081
2023-12-30,0,0.4775088798966465
2023-12-31,0,0.3820071039173172
2024-01-01,0,0.3056056831338538
2024-01-02,0,0.24448454650708304
2024-01-03,1,0.3955876372056665
2024-01-04,-1,0.1164701097645332
2024-01-05,-1,-0.10682391218837345
2024-01-06,0,-0.08545912975069876
2024-01-07,0,-0.06836730380055901
2024-01-08,1,0.1453061569595528
2024-01-09,0,0.11624492556764224
2024-01-10,0,0.0929959404541138
2024-01-11,1,0.2743967523632911
2024-01-12,1,0.4195174018906329
2024-01-13,1,0.5356139215125064
2024-01-14,1,0.6284911372100052
2024-01-15,1,0.7027929097680041
2024-01-16,1,0.7622343278144033
2024-01-17,1,0.8097874622515226
2024-01-18,0,0.6478299698012182
2024-01-19,0,0.5182639758409746
2024-01-20,0,0.4146111806727797
2024-01-21,0,0.3316889445382238
2024-01-22,0,0.26535115563057904
2024-01-23,1,0.41228092450446324
2024-01-24,1,0.5298247396035707
2024-01-25,1,0.6238597916828565
2024-01-26,1,0.6990878333462853
2024-01-27,1,0.7592702666770283
2024-01-28,1,0.8074162133416227
2024-01-29,1,0.8459329706732983
2024-01-30,0,0.6767463765386387
2024-01-31,1,0.7413971012309111
2024-02-01,1,0.7931176809847289
2024-02-02,1,0.8344941447877832
2024-02-03,1,0.8675953158302265
2024-02-04,1,0.8940762526641812
2024-02-05,0,0.715261002131345
2024-02-06,1,0.7722088017050761
2024-02-07,0,0.6177670413640609
2024-02-08,0,0.49421363309124877
2024-02-09,1,0.5953709064729991
2024-02-10,0,0.47629672517839927
2024-02-11,0,0.38103738014271943
2024-02-12,1,0.5048299041141755
2024-02-13,1,0.6038639232913404
2024-02-14,1,0.6830911386330724
2024-02-15,0,0.5464729109064579
2024-02-16,-1,0.2371783287251663
2024-02-17,0,0.18974266298013306
2024-02-18,0,0.15179413038410647
2024-02-19,0,0.12143530430728518
2024-02-20,1,0.29714824344582813
2024-02-21,0,0.23771859475666252
2024-02-22,-1,-0.009825124194669993
2024-02-23,0,-0.007860099355735995
2024-02-24,0,-0.006288079484588796
2024-02-25,0,-0.0050304635876710375
2024-02-26,1,0.1959756291298632
2024-02-27,0,0.15678050330389057
2024-02-28,1,0.32542440264311245
2024-02-29,0,0.26033952211448996
2024-03-01,1,0.408271617691592
2024-03-02,0,0.3266172941532736
2024-03-03,0,0.2612938353226189
